#...i    step           time                          C_v                     C_i                    C_2i                   rho_N                     C_I                     d_J
   154     1530  1.529999999999942E+000     1.601779842002032E-001  1.617500921390950E-001  3.243949002650703E-001  5.834211542372759E-001  2.940852993761029E-002  3.415474719672592E+000
   155     1540  1.539999999999941E+000     1.603460561190592E-001  1.617977698060168E-001  3.242518467596850E-001  5.807550557186429E-001  2.938552596255906E-002  3.416462173868042E+000
   156     1550  1.549999999999940E+000     1.605111746914314E-001  1.618449763056693E-001  3.241131278872240E-001  5.781139610888840E-001  2.936326917338210E-002  3.417417736974512E+000
   157     1560  1.559999999999939E+000     1.606734008892600E-001  1.618917156428939E-001  3.239786113001697E-001  5.754976698252885E-001  2.934173234183393E-002  3.418342582036187E+000
   158     1570  1.569999999999938E+000     1.608327944100635E-001  1.619379918167836E-001  3.238481687975330E-001  5.729059817360186E-001  2.932088947864379E-002  3.419237826161982E+000
   159     1580  1.579999999999937E+000     1.609894136976288E-001  1.619838088198162E-001  3.237216761895254E-001  5.703386970255181E-001  2.930071575975129E-002  3.420104534110069E+000
   160     1590  1.589999999999936E+000     1.611433159628402E-001  1.620291706370038E-001  3.235990131669033E-001  5.677956163556475E-001  2.928118745785620E-002  3.420943721598418E+000
   161     1600  1.599999999999935E+000     1.612945572046018E-001  1.620740812450526E-001  3.234800631748165E-001  5.652765409028204E-001  2.926228187887178E-002  3.421756358362988E+000
   162     1610  1.609999999999933E+000     1.614431922308103E-001  1.621185446115372E-001  3.233647132909884E-001  5.627812724113989E-001  2.924397730290200E-002  3.422543370983626E+000
   163     1620  1.619999999999932E+000     1.615892746793423E-001  1.621625646940849E-001  3.232528541080722E-001  5.603096132435819E-001  2.922625292939198E-002  3.423305645496228E+000
   164     1630  1.629999999999931E+000     1.617328570390199E-001  1.622061454395726E-001  3.231443796200253E-001  5.578613664260167E-001  2.920908882612830E-002  3.424044029808328E+000
   165     1640  1.639999999999930E+000     1.618739906705240E-001  1.622492907833356E-001  3.230391871123572E-001  5.554363356933287E-001  2.919246588178995E-002  3.424759335933952E+000
   166     1650  1.649999999999929E+000     1.620127258272276E-001  1.622920046483878E-001  3.229371770561076E-001  5.530343255287768E-001  2.917636576177516E-002  3.425452342062379E+000
